02680002     	511901	8	Group 8 - NAC	15	Standard Marketing Fund	15032.16	.00	102.00	.00	122.54	1954.21	14465.55	289.31	15016.70	16986.37	CAD   	20190528
02680002     	511901	8	Group 8 - NAC	16	Exempt	1426.84	.00	102.00	.00	.00	185.50	102.00	.00	1288.84	1612.34	CAD   	20190528
02740002     	16401	7	Group 7 - FII	17	Standard	13797.30	.00	.00	.00	.00	1138.30	13797.30	827.84	13797.30	14935.60	USD   	20190528
02740002     	16401	8	Group 8 - NAC	21	Standard Marketing Fund	13797.30	.00	.00	.00	.00	1138.30	13797.30	275.95	13797.30	14935.60	USD   	20190528
02880002     	381001	7	Group 7 - FII	17	Standard	.00	10929.54	.00	.00	.00	.00	10929.54	655.77	10929.54	10929.54	USD   	20190528
02880002     	381001	8	Group 8 - NAC	21	Standard Marketing Fund	.00	10929.54	.00	.00	.00	.00	10929.54	218.59	10929.54	10929.54	USD   	20190528
02960002     	175601	7	Group 7 - FII	17	Standard	7077.61	.00	.00	.00	.00	495.44	7077.61	424.66	7077.61	7573.05	USD   	20190528
02960002     	175601	8	Group 8 - NAC	21	Standard Marketing Fund	7077.61	.00	.00	.00	.00	495.44	7077.61	141.55	7077.61	7573.05	USD   	20190528
03000002     	910701	8	Group 8 - FII	13	Standard	3082.50	.00	.00	.00	399.00	308.25	3082.50	215.78	3481.50	3390.75	AUD   	20190528
03000002     	910701	9	Group 9 - NAC	15	Standard Marketing Fund	3082.50	.00	.00	.00	399.00	308.25	3082.50	61.65	3481.50	3390.75	AUD   	20190528
03260002     	512401	7	Group 7 - FII	13	Standard	8625.30	.00	.00	.00	.00	1121.29	8625.30	517.52	8625.30	9746.59	CAD   	20190528
03260002     	512401	7	Group 7 - FII	14	Exempt	575.00	.00	.00	.00	.00	74.75	575.00	.00	575.00	649.75	CAD   	20190528
03260002     	512401	8	Group 8 - NAC	15	Standard Marketing Fund	8625.30	.00	.00	.00	.00	1121.29	8625.30	172.51	8625.30	9746.59	CAD   	20190528
03260002     	512401	8	Group 8 - NAC	16	Exempt	575.00	.00	.00	.00	.00	74.75	575.00	.00	575.00	649.75	CAD   	20190528
03280002     	71301	7	Group 7 - FII	17	Standard	25.00	450.00	.00	.00	.00	2.42	-475.00	-28.50	475.00	477.42	USD   	20190528
03280002     	71301	8	Group 8 - NAC	21	Standard Marketing Fund	25.00	450.00	.00	.00	.00	2.42	-475.00	-9.50	475.00	477.42	USD   	20190528
03290002     	512701	7	Group 7 - FII	13	Standard	3643.50	.00	.00	.00	.00	473.65	3643.50	218.61	3643.50	4117.15	CAD   	20190528
03290002     	512701	8	Group 8 - NAC	15	Standard Marketing Fund	3643.50	.00	.00	.00	.00	473.65	3643.50	72.87	3643.50	4117.15	CAD   	20190528
03410003     	910501	9	Group 9 - FII	17	Standard	790.84	.00	.00	.00	.00	79.08	790.84	55.36	790.84	869.92	AUD   	20190528
03410003     	910501	10	Group 10 - NAC	18	Standard Marketing Plan	790.84	.00	.00	.00	.00	79.08	790.84	15.82	790.84	869.92	AUD   	20190528
03420003     	940102	11	Group 11 - FII	19	Standard	1700.50	.00	.00	.00	627.00	85.03	1700.50	59.52	2327.50	1785.53	AED   	20190528
03420003     	940102	12	Group 12 - NAC	29	Standard Marketing Fund	1700.50	.00	.00	.00	627.00	85.03	1700.50	.00	2327.50	1785.53	AED   	20190528
03430002     	321601	7	Group 7 - FII	17	Standard	.00	580.00	.00	.00	.00	.00	580.00	34.80	580.00	580.00	USD   	20190528
03430002     	321601	8	Group 8 - NAC	21	Standard Marketing Fund	.00	580.00	.00	.00	.00	.00	580.00	11.60	580.00	580.00	USD   	20190528
03730002     	103501	7	Group 7 - FII	17	Standard	.00	7358.40	.00	.00	.00	.00	7358.40	441.50	7358.40	7358.40	USD   	20190528
